"notation","title","description","id","title_en","description_en"
"1","Lebewesen bestehen aus Zellen","","f6y","",""
"1.1","Kennzeichen des Lebendigen","","e6u","",""
"1.2","Zellen, Mitose, Meiose","","s4v","",""
"1.3","Fotosynthese und Zellatmung","","d9q","",""
"1.4","Enzymreaktion","","u5c","",""
"2","Vielfalt und Veränderung von Lebewesen","","c7q","",""
"2.1","Evolutionstheorie","","a3f","",""
"2.2","Vererbung, genetische Variabilität","","b7y","",""
"2.3","Angepasstheit, Artbildung, Verwandtschaft","","e5q","",""
"2.4","Stammesgeschichte des Menschen","","b6d","",""
"3","Der Mensch als Lebewesen","","e5b","",""
"3.1","Organsysteme","","d2f","",""
"3.2","Mechanismen der Immunabwehr, Impfung","","q2a","",""
"3.3","Gesundheitsbildung, Ernährung, Suchtprävention","","d2r","",""
"3.4","Sexualbildung und Diversität, Pubertät, Fortpflanzung","","h5z","",""
"4","Lebewesen in ihrer Umwelt","","r7z","",""
"4.1","Ökosysteme, Biodiversität, Naturschutz","","c6p","",""
"4.2","Artenkenntnis, Wechselbeziehungen zwischen Lebewesen und ihrer Umwelt","","g4f","",""
"4.3","Kohlenstoffkreislauf, Energiefluss und Trophiestufen","","b7b","",""
"4.4","Klimawandel, Klimafolgen, Nachhaltigkeit","","t6r","",""
